101	문성진2	90	87	69	246	82.0
102	김자완2	95	86	93	274	91.3
103	오당식2	95	84	95	274	91.3
104	조성훈2	92	86	95	273	91.0
105	박장우2	84	83	85	252	84.0
106	지송범2	80	83	84	247	82.3
107	최미도2	75	80	86	241	80.3
108	송국영2	84	84	95	263	87.7
109	염진범2	80	84	90	254	84.7
110	정아아2	75	80	75	230	76.7
111	이고석2	79	82	83	244	81.3
112	심안혜2	83	83	89	255	85.0
113	김상민2	85	85	91	261	87.0
114	박명수2	93	83	95	271	90.3
115	김유관2	90	83	93	266	88.7
116	진수나2	90	83	95	268	89.3
117	윤정경2	75	80	77	232	77.3
118	안현철2	82	82	87	251	83.7
119	민종조2	91	88	95	274	91.3
120	원우철2	83	81	85	249	83.0
121	박규수2	75	80	62	217	72.3
122	이세철2	80	83	87	250	83.3
123	곽참만2	82	83	89	254	84.7
124	한양희2	79	83	80	242	80.7
125	구박영2	93	85	95	273	91.0
126	김사형2	81	82	74	237	79.0
127	이상민2	82	82	91	255	85.0
128	강안기2	90	87	95	272	90.7
129	김장혜2	82	81	90	253	84.3
130	김정철2	82	83	93	258	86.0
131	유요림2	94	86	76	256	85.3
132	박미기2	90	84	95	269	89.7
133	김양두2	75	80	83	238	79.3
134	박상진2	84	83	91	258	86.0
135	현잔철2	80	83	76	239	79.7
136	김진기2	75	80	66	221	73.7
137	도하진2	93	84	95	272	90.7
138	윤양국2	80	82	70	232	77.3
139	김장섭2	80	82	91	253	84.3
140	구기민2	82	83	95	260	86.7
141	홍자원2	84	84	93	261	87.0
142	오정혜2	92	83	87	262	87.3
143	김다성2	90	91	93	274	91.3
144	박정훈2	88	90	69	247	82.3
145	김오정2	86	83	95	264	88.0
146	박청진2	97	89	95	281	93.7
147	양강현2	90	85	79	254	84.7
